name,local_address,principle_address,type,secstaff_reg_url,latitude,longitude
"CHINA EVERBRIGHT BANK CO., LTD.","G/F (SHOP B), 11/F, 20/F, 22/F, 23/F & 36/F, EVERBRIGHT CENTRE, 108 GLOUCESTER ROAD, WANCHAI, HONG KONG.","CHINA EVERBRIGHT CENTER, NO. 25 TAIPINGQIAO AVENUE, XICHENG DISTRICT, BEIJING, P.R. CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100314,22.2792805214743,114.173872138718
"CHINA GUANGFA BANK CO., LTD.","12 FLOOR, ONE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG","CGB BUILDING, NO. 713 DONGFENGDONG ROAD, YUEXIU DISTRICT, GUANGZHOU, GUANGDONG PROVINCE, P. R. CHINA",Licensed Bank,,22.2847241474469,114.157453367553
"CHINA MERCHANTS BANK CO., LTD.","27-28/F, 30-31/F, THREE EXCHANGE SQUARE, 8 CONNAUGHT PLACE, CENTRAL, HONG KONG.","CHINA MERCHANTS BANK TOWER, 7088 SHENNAN BOULEVARD, SHENZHEN, CHINA.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100255,22.2847845675241,114.157337238718
"CHINA MINSHENG BANKING CORP., LTD.","ROOMS 01-02, 12-16, 37/F & 40/F, TWO INTERNATIONAL FINANCE CENTRE, 8 FINANCE STREET, CENTRAL, HONG KONG","NO. 2, FUXINGMENNEI AVENUE, XICHENG DISTRICT, BEIJING, CHINA 100031.",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100311,22.2854007466296,114.159313240565
"CHINA ZHESHANG BANK CO., LTD.","15TH FLOOR, THREE EXCHANGE SQUARE, NO. 8 CONNAUGHT PLACE, CENTRAL, HONG KONG","NO. 1 MINXIN ROAD, SHANGCHENG DISTRICT, HANGZHOU, ZHEJIANG, PEOPLE'S REPUBLIC OF CHINA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100324,22.2848373123961,114.157381425224
CHIYU BANKING CORPORATION LIMITED,"74-78 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100064,22.2840727033681,114.156141711729
CHONG HING BANK LIMITED,"GROUND FLOOR, CHONG HING BANK CENTRE, 24 DES VOEUX ROAD CENTRAL, HONG KONG.",,Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100039,22.2827170945467,114.157009759882
CHONG HING FINANCE LIMITED,"GROUND FLOOR, CHONG HING BANK CENTRE, 24 DES VOEUX ROAD CENTRAL, HONG KONG.",,Deposit-taking Company,,22.2825582520442,114.157031217553
"CHUGOKU BANK, LTD (THE)","ROOM 1402, 14TH FLOOR, YORK HOUSE, THE LANDMARK, 15 QUEEN'S ROAD CENTRAL, HONG KONG","1-15-20, MARUNOUCHI, KITA-KU, OKAYAMA, JAPAN.",Licensed Bank,,22.2805449797073,114.157913725223
CIMB BANK BERHAD,"ROOMS 2501 AND 2507-2510, 25/F, GLOUCESTER TOWER, THE LANDMARK, 15 QUEEN'S ROAD CENTRAL, HONG KONG","LEVEL 17, MENARA CIMB, JALAN STESEN SENTRAL 2, KUALA LUMPUR SENTRAL, 50470 KUALA LUMPUR, MALAYSIA",Licensed Bank,http://apps.hkma.gov.hk/eng/index.php?c=search&m=search_by_institution&ri=100315,22.2806938967029,114.157902996388
